elegans	brenneri	briggsae	remanei	japonica	common_name	common_name2	type	upstream_considered	intronic_considered	num_orthologs
WBGene00005257	WBGene00146958	WBGene00024614	WBGene00056753	WBGene00131517_WBGene00179118	srh-34	M02H5.10	other	894	780	4
WBGene00005258	WBGene00146958	WBGene00024614	WBGene00056753	WBGene00131517_WBGene00179118	srh-35	M02H5.11	other	684	654	4
WBGene00005259	WBGene00146958		WBGene00056753	WBGene00131517_WBGene00179118	srh-36	T03D3.4	other	2137	1047	3
WBGene00005260	WBGene00146958	WBGene00024614		WBGene00131517_WBGene00179118	srh-37	R11G11.9	other	5330	289	3
WBGene00005261	WBGene00146958	WBGene00024614	WBGene00056753	WBGene00131517_WBGene00179118	srh-38	C31B8.11	other	2498	1057	4
WBGene00005262	WBGene00149888	WBGene00033817	WBGene00057677_WBGene00065159	WBGene00135163	srh-39	C06A8.7	other	28	581	4
WBGene00005263				WBGene00132682_WBGene00126512_WBGene00128802_WBGene00123380	srh-40	Y40D12A.3	other	366	383	1
WBGene00005264		WBGene00039726	WBGene00057579	WBGene00132682_WBGene00126512_WBGene00128802_WBGene00123380	srh-41	Y54G11A.12	other	254	560	3
WBGene00005265		WBGene00039726	WBGene00057579	WBGene00132682_WBGene00126512_WBGene00128802_WBGene00123380	srh-42	Y54G11A.15	other	3755	300	3
WBGene00005267	WBGene00145621	WBGene00025839	WBGene00053586	WBGene00123106	srh-44	B0334.7	other	1184	2063	4
WBGene00005268	WBGene00153375	WBGene00041571	WBGene00072321		srh-45	T03F7.2	other	90	264	3
WBGene00005269	WBGene00192639	WBGene00041570	WBGene00072322	WBGene00138427	srh-46	T03F7.3	other	764	266	4
WBGene00005270	WBGene00147096_WBGene00192639		WBGene00072322	WBGene00138427	srh-47	T03F7.4	other	967	259	3
WBGene00005271		WBGene00039922	WBGene00054563		srh-48	C06C3.6	other	2046	2786	2
WBGene00005272		WBGene00033513	WBGene00064321		srh-49	C10G11.4	other	141	925	2
WBGene00005273			WBGene00064323		srh-50	C10G11.2	other	175	767	1
WBGene00005274		WBGene00033513_WBGene00271400	WBGene00064322		srh-51	C10G11.3	other	763	714	2
WBGene00005275	WBGene00155260_WBGene00155534_WBGene00158887		WBGene00064727	WBGene00120097	srh-52	R08H2.7	other	177	389	3
WBGene00005278	WBGene00158887_WBGene00155260	WBGene00041582_WBGene00031235	WBGene00064727	WBGene00120097	srh-55	T09F5.5	other	1938	380	4
WBGene00005279	WBGene00147445_WBGene00144388	WBGene00028603_WBGene00028606	WBGene00058074	WBGene00132798	srh-56	R05D8.3	other	2005	625	4
WBGene00005280	WBGene00141915_WBGene00143825_WBGene00162076_WBGene00159913_WBGene00191288_WBGene00161823_WBGene00149843_WBGene00144388_WBGene00147445	WBGene00028602	WBGene00080912_WBGene00058079_WBGene00058078_WBGene00058077_WBGene00058076_WBGene00058075_WBGene00082508_WBGene00058074	WBGene00132798	srh-57	Y49F6A.2	other	2219	476	4
WBGene00005281	WBGene00141915_WBGene00143825_WBGene00162076_WBGene00159913_WBGene00191288_WBGene00161823_WBGene00149843_WBGene00144388_WBGene00147445	WBGene00028603_WBGene00028606	WBGene00080912_WBGene00058079_WBGene00058078_WBGene00058077_WBGene00058076_WBGene00058075_WBGene00082508_WBGene00058074	WBGene00132798	srh-59	W10G11.10	other	618	395	4
WBGene00005282	WBGene00161823_WBGene00143825_WBGene00162076_WBGene00159913_WBGene00191288_WBGene00149843_WBGene00141915_WBGene00144388_WBGene00147445	WBGene00028603_WBGene00028606	WBGene00080912_WBGene00058079_WBGene00058078_WBGene00058077_WBGene00058076_WBGene00058075_WBGene00082508_WBGene00058074	WBGene00132798	srh-60	W10G11.9	other	268	658	4
WBGene00005283	WBGene00164308	WBGene00037317_WBGene00039387_WBGene00040555_WBGene00040556_WBGene00040558	WBGene00056772_WBGene00059646_WBGene00059655_WBGene00059650_WBGene00083664_WBGene00059648_WBGene00080947_WBGene00059656_WBGene00059654_WBGene00059657_WBGene00071660_WBGene00080567_WBGene00083670		srh-61	T21B4.8	other	339	421	3
WBGene00005284	WBGene00164308	WBGene00040554_WBGene00040555	WBGene00059656_WBGene00059650_WBGene00080947_WBGene00059648		srh-62	ZK6.9	other	1490	391	3
WBGene00005285	WBGene00164308	WBGene00040554_WBGene00040555	WBGene00056772_WBGene00059656_WBGene00059646_WBGene00059650_WBGene00080947_WBGene00059648		srh-63	T27E7.8	other	2868	298	3
WBGene00005288	WBGene00164308	WBGene00040554_WBGene00040555_WBGene00037317_WBGene00039387_WBGene00040556_WBGene00040558	WBGene00056772_WBGene00059646_WBGene00059655_WBGene00083670_WBGene00083664_WBGene00059648_WBGene00080947_WBGene00059656_WBGene00059650_WBGene00059657_WBGene00080567_WBGene00059654_WBGene00071660		srh-67	T21B4.6	other	497	160	3
WBGene00005289	WBGene00164308	WBGene00040554_WBGene00040555_WBGene00037317_WBGene00039387_WBGene00040556_WBGene00040558	WBGene00056772_WBGene00059646_WBGene00059655_WBGene00083670_WBGene00083664_WBGene00059648_WBGene00080947_WBGene00059656_WBGene00059650_WBGene00059657_WBGene00080567_WBGene00059654_WBGene00071660		srh-68	T21B4.5	neuronal	4459	89	3
WBGene00005290	WBGene00164308	WBGene00040554_WBGene00040555_WBGene00037317_WBGene00039387_WBGene00040556_WBGene00040558	WBGene00059655_WBGene00083670_WBGene00083664_WBGene00059648_WBGene00080947_WBGene00059656_WBGene00059650_WBGene00056772_WBGene00059646_WBGene00059654_WBGene00059657_WBGene00071660_WBGene00080567		srh-69	T21B4.7	other	256	97	3
WBGene00005291	WBGene00164308	WBGene00040556_WBGene00040554_WBGene00040555_WBGene00037317_WBGene00039387_WBGene00040558	WBGene00056772_WBGene00059646_WBGene00059655_WBGene00083664_WBGene00059648_WBGene00080947_WBGene00059656_WBGene00059650_WBGene00059654_WBGene00059657_WBGene00071660_WBGene00080567_WBGene00083670		srh-70	T21B4.9	other	2145	101	3
WBGene00005292	WBGene00164308	WBGene00040556_WBGene00040554_WBGene00040555_WBGene00037317_WBGene00039387_WBGene00040558	WBGene00056772_WBGene00059646_WBGene00059655_WBGene00083670_WBGene00059648_WBGene00080947_WBGene00059656_WBGene00059650_WBGene00059654_WBGene00059657_WBGene00071660_WBGene00080567_WBGene00083664		srh-71	T10D4.5	other	313	347	3
WBGene00005293	WBGene00164308	WBGene00040554_WBGene00040555_WBGene00037317_WBGene00039387_WBGene00040556_WBGene00040558	WBGene00056772_WBGene00059646_WBGene00059655_WBGene00083664_WBGene00059648_WBGene00080947_WBGene00059656_WBGene00059650_WBGene00059654_WBGene00059657_WBGene00071660_WBGene00080567_WBGene00083670		srh-72	ZC204.5	other	3652	349	3
WBGene00005294	WBGene00164308	WBGene00040554_WBGene00040555_WBGene00037317_WBGene00039387_WBGene00040556_WBGene00040558	WBGene00059648_WBGene00080947_WBGene00059656_WBGene00059650_WBGene00083664_WBGene00083670_WBGene00056772_WBGene00059646_WBGene00059654_WBGene00059655_WBGene00059657_WBGene00071660_WBGene00080567		srh-73	T21B4.14	other	2030	101	3
WBGene00005295	WBGene00151661	WBGene00041514	WBGene00085264_WBGene00061498_WBGene00085268_WBGene00085270_WBGene00085261_WBGene00066208_WBGene00066210_WBGene00066211_WBGene00085257_WBGene00066212_WBGene00066213	WBGene00127329_WBGene00135941	srh-74	C45B11.4	other	3712	513	4
WBGene00005296		WBGene00041514	WBGene00066210_WBGene00066213_WBGene00066211_WBGene00066212_WBGene00085268_WBGene00085270_WBGene00085257_WBGene00061498_WBGene00085261_WBGene00066208_WBGene00085264	WBGene00135941_WBGene00127329	srh-75	T04C12.2	other	1505	737	3
WBGene00005297	WBGene00150493	WBGene00030915	WBGene00058867		srh-76	F26F12.6	other	1069	152	3
WBGene00005299	WBGene00159273_WBGene00155237		WBGene00062178		srh-78	DC2.2	other	4366	1258	2
WBGene00005300	WBGene00159273_WBGene00155237	WBGene00040011	WBGene00062178	WBGene00135941	srh-79	C04F2.1	other	2450	251	4
WBGene00005301	WBGene00159273_WBGene00155237		WBGene00062178		srh-80	DC2.1	other	458	1680	2
WBGene00005303	WBGene00159273_WBGene00155237		WBGene00062178	WBGene00135941	srh-82	W03F9.6	other	3823	655	3
WBGene00005304	WBGene00159273_WBGene00155237		WBGene00062178		srh-83	F09G2.7	other	914	327	2
WBGene00005308	WBGene00159273_WBGene00155237		WBGene00062178		srh-87	H27D07.6	other	5029	248	2
WBGene00005309	WBGene00159273_WBGene00155237		WBGene00062178		srh-88	C44C3.9	other	7062	265	2
WBGene00005310	WBGene00153587	WBGene00040512_WBGene00027891_WBGene00040508	WBGene00057864_WBGene00082487_WBGene00069962		srh-89	F25E5.14	other	1092	306	3
WBGene00005313		WBGene00040512_WBGene00040513	WBGene00073985_WBGene00057865_WBGene00082487_WBGene00082888_WBGene00057866		srh-92	F25E5.13	other	2454	267	2
WBGene00005315	WBGene00149774_WBGene00162924_WBGene00159831_WBGene00139458_WBGene00159083	WBGene00036763_WBGene00027545_WBGene00040921_WBGene00042619_WBGene00088133	WBGene00080800_WBGene00080994_WBGene00068235_WBGene00063624_WBGene00080922_WBGene00063671_WBGene00081009		srh-95	F21H7.11	other	2700	512	3
WBGene00005316	WBGene00149774_WBGene00162924_WBGene00159831_WBGene00139458_WBGene00159083	WBGene00036763_WBGene00027545_WBGene00042619_WBGene00088133	WBGene00080800_WBGene00080994_WBGene00068235_WBGene00063624_WBGene00080922_WBGene00063671_WBGene00081009		srh-97	F49H6.4	other	1760	1655	3
WBGene00005317	WBGene00149774_WBGene00159083_WBGene00162924	WBGene00027545_WBGene00036763_WBGene00042619_WBGene00088133	WBGene00068235_WBGene00063624_WBGene00063671_WBGene00080800_WBGene00080922_WBGene00080994_WBGene00081009	WBGene00135010	srh-98	F21H7.14	other	1775	67	4
WBGene00005318	WBGene00159831_WBGene00139458_WBGene00149774_WBGene00159083_WBGene00162924	WBGene00036763_WBGene00027545_WBGene00042619_WBGene00088133	WBGene00063671_WBGene00068235_WBGene00073985_WBGene00063624_WBGene00085008_WBGene00080800_WBGene00080922_WBGene00080994_WBGene00081009		srh-99	C46E10.7	other	582	512	3
WBGene00005319	WBGene00149774_WBGene00153587_WBGene00159831_WBGene00139458_WBGene00159083_WBGene00162924	WBGene00036763_WBGene00027545_WBGene00042619_WBGene00088133	WBGene00063671_WBGene00068235_WBGene00063624_WBGene00080800_WBGene00080922_WBGene00080994_WBGene00081009		srh-100	C46E10.10	other	304	464	3
WBGene00005321	WBGene00153587_WBGene00159831_WBGene00139458_WBGene00149774_WBGene00159083_WBGene00162924	WBGene00036763_WBGene00027545_WBGene00042619_WBGene00088133	WBGene00068235_WBGene00063624_WBGene00080922_WBGene00063671_WBGene00080800_WBGene00080994_WBGene00081009		srh-102	F40D4.11	other	518	1551	3
WBGene00005323	WBGene00149774_WBGene00153587_WBGene00159831_WBGene00139458_WBGene00159083_WBGene00162924	WBGene00036763_WBGene00040512_WBGene00042619_WBGene00088133	WBGene00080922_WBGene00085008_WBGene00063671_WBGene00080800_WBGene00080994_WBGene00081009		srh-104	F21H7.7	other	2700	305	3
WBGene00005328	WBGene00153587_WBGene00159831_WBGene00139458_WBGene00159083_WBGene00162924	WBGene00036763_WBGene00042619_WBGene00088133	WBGene00063671_WBGene00080800_WBGene00080922_WBGene00080994_WBGene00081009		srh-109	T19C9.4	other	1940	179	3
WBGene00005330	WBGene00153587_WBGene00159831_WBGene00139458_WBGene00159083_WBGene00162924	WBGene00036763_WBGene00042619_WBGene00088133	WBGene00063671_WBGene00080800_WBGene00080922_WBGene00080994_WBGene00081009		srh-111	F08E10.6	other	1252	123	3
WBGene00005331	WBGene00153587_WBGene00159831_WBGene00139458_WBGene00159083_WBGene00162924	WBGene00036763_WBGene00042619_WBGene00088133	WBGene00063671_WBGene00080800_WBGene00080922_WBGene00080994_WBGene00081009		srh-112	T19C9.2	other	739	123	3
WBGene00005332	WBGene00149774_WBGene00162924_WBGene00159831_WBGene00139458_WBGene00159083	WBGene00036763_WBGene00042619_WBGene00088133	WBGene00063671_WBGene00080800_WBGene00080922_WBGene00080994_WBGene00081009		srh-113	Y68A4A.7	other	1003	111	3
WBGene00005334	WBGene00149774_WBGene00153587_WBGene00159831_WBGene00139458_WBGene00159083_WBGene00162924	WBGene00036763_WBGene00042619_WBGene00088133	WBGene00063671_WBGene00080800_WBGene00080922_WBGene00080994_WBGene00081009		srh-115	Y61B8A.2	other	625	311	3
WBGene00005335	WBGene00149774_WBGene00153587_WBGene00162924_WBGene00159831_WBGene00139458_WBGene00159083	WBGene00036763_WBGene00042619_WBGene00088133	WBGene00063671_WBGene00080800_WBGene00080922_WBGene00080994_WBGene00081009		srh-116	Y61B8A.1	other	625	1139	3
WBGene00005337	WBGene00153587_WBGene00159831_WBGene00139458_WBGene00159083_WBGene00162924	WBGene00036763_WBGene00027545_WBGene00042619_WBGene00088133	WBGene00063671_WBGene00080800_WBGene00080922_WBGene00080994_WBGene00081009		srh-118	K03D7.6	other	10417	807	3
WBGene00005338	WBGene00149774_WBGene00162924_WBGene00159831_WBGene00139458_WBGene00159083	WBGene00040512_WBGene00036763_WBGene00027545_WBGene00042619_WBGene00088133	WBGene00073985_WBGene00080800_WBGene00063671_WBGene00080922_WBGene00080994_WBGene00081009		srh-119	Y102A5C.21	other	3847	587	3
WBGene00005339	WBGene00149774_WBGene00159831_WBGene00139458_WBGene00159083_WBGene00162924	WBGene00040512_WBGene00027545_WBGene00036763_WBGene00042619_WBGene00088133	WBGene00073985_WBGene00080800_WBGene00063671_WBGene00080922_WBGene00080994_WBGene00081009		srh-120	T27C5.1	other	14554	1302	3
WBGene00005340	WBGene00153587_WBGene00159831_WBGene00139458_WBGene00159083_WBGene00162924	WBGene00036763_WBGene00040921_WBGene00042619_WBGene00088133	WBGene00063671_WBGene00080800_WBGene00080922_WBGene00080994_WBGene00081009		srh-122	R08H2.5	other	363	441	3
WBGene00005341	WBGene00153587_WBGene00159831_WBGene00139458_WBGene00159083_WBGene00162924	WBGene00036763_WBGene00027891_WBGene00042619_WBGene00088133	WBGene00063671_WBGene00080800_WBGene00080922_WBGene00080994_WBGene00081009		srh-123	F08E10.3	other	2334	411	3
WBGene00005342	WBGene00145773_WBGene00150679_WBGene00194113	WBGene00024134_WBGene00037920_WBGene00040508	WBGene00057859_WBGene00057860		srh-125	C18B10.8	other	374	257	3
WBGene00005344	WBGene00152087	WBGene00028732	WBGene00061014_WBGene00082017	WBGene00215851	srh-127	F37B4.1	other	651	1313	4
WBGene00005345	WBGene00158839	WBGene00030435	WBGene00052717		srh-128	Y47G7B.1	other	728	833	3
WBGene00005346	WBGene00158839	WBGene00030435	WBGene00052717		srh-129	F14F9.7	other	1032	494	3
WBGene00005347	WBGene00153051_WBGene00190339_WBGene00194463	WBGene00030436_WBGene00028782_WBGene00028784_WBGene00028785	WBGene00052718_WBGene00067984	WBGene00136240	srh-130	F14F9.1	other	4689	792	4
WBGene00005348	WBGene00194463_WBGene00190339_WBGene00153051		WBGene00067984_WBGene00052718	WBGene00136240	srh-131	Y102A5C.31	other	1901	215	3
WBGene00005349	WBGene00194463_WBGene00190339_WBGene00153051		WBGene00067984_WBGene00052718	WBGene00136240	srh-132	T27C5.5	neuronal	12220	401	3
WBGene00005350	WBGene00194463_WBGene00190339_WBGene00153051		WBGene00067984_WBGene00052718	WBGene00136240	srh-133	Y59A8B.3	other	424	754	3
WBGene00005351	WBGene00194463_WBGene00190339_WBGene00153051		WBGene00067984_WBGene00052718	WBGene00136240	srh-134	Y59A8B.4	other	5152	1645	3
WBGene00005352	WBGene00140282_WBGene00160902	WBGene00024135	WBGene00079006_WBGene00056870	WBGene00126620_WBGene00127542_WBGene00129087_WBGene00130217	srh-135	T01E8.7	other	134	89	4
WBGene00005353			WBGene00056554_WBGene00081969	WBGene00127205_WBGene00121600_WBGene00128737_WBGene00131007_WBGene00131989_WBGene00175914	srh-136	F36D3.6	other	1755	610	2
WBGene00005354			WBGene00056554_WBGene00081969	WBGene00127205_WBGene00121600_WBGene00128737_WBGene00131007_WBGene00131989_WBGene00175914	srh-137	Y70C5C.4	other	5386	211	2
WBGene00005355			WBGene00081969_WBGene00056554	WBGene00127205_WBGene00121600_WBGene00128737_WBGene00131007_WBGene00131989_WBGene00175914	srh-138	T08G3.12	other	1496	669	2
WBGene00005356			WBGene00056554_WBGene00081969	WBGene00127205_WBGene00121600_WBGene00128737_WBGene00131007_WBGene00131989_WBGene00175914	srh-139	F57E7.3	neuronal	836	409	2
WBGene00005357			WBGene00056554_WBGene00081969	WBGene00127205_WBGene00121600_WBGene00128737_WBGene00131007_WBGene00131989_WBGene00175914	srh-140	Y6E2A.6	other	895	738	2
WBGene00005358	WBGene00152721_WBGene00151920_WBGene00157349	WBGene00036007_WBGene00036008_WBGene00088696	WBGene00063633_WBGene00063664_WBGene00081001_WBGene00080849_WBGene00085798_WBGene00080904_WBGene00080942_WBGene00080944_WBGene00080860_WBGene00080843_WBGene00080808_WBGene00080908_WBGene00080980_WBGene00085774	WBGene00131007_WBGene00121600_WBGene00128737_WBGene00131989_WBGene00175914	srh-141	T08G3.5	other	4991	783	4
WBGene00005359	WBGene00152721_WBGene00157349_WBGene00151920	WBGene00036007_WBGene00036008_WBGene00088696	WBGene00063633_WBGene00081001_WBGene00080849_WBGene00085798_WBGene00080904_WBGene00080942_WBGene00080944_WBGene00080860_WBGene00063664_WBGene00080843_WBGene00080808_WBGene00080908_WBGene00080980_WBGene00085774	WBGene00131007_WBGene00121600_WBGene00128737_WBGene00131989_WBGene00175914	srh-142	T08G3.3	other	5500	588	4
WBGene00005361	WBGene00152721_WBGene00157349_WBGene00151920	WBGene00036007_WBGene00036008_WBGene00088696	WBGene00063633_WBGene00081001_WBGene00080849_WBGene00085798_WBGene00080904_WBGene00080942_WBGene00080944_WBGene00080860_WBGene00081969_WBGene00063664_WBGene00080843_WBGene00080808_WBGene00080908_WBGene00080980_WBGene00085774	WBGene00131007_WBGene00121600_WBGene00128737_WBGene00131989_WBGene00175914	srh-145	F26D2.4	other	442	132	4
WBGene00005362				WBGene00132049_WBGene00215966	srh-146	C31B8.3	other	1246	917	1
WBGene00005363	WBGene00157396_WBGene00191112		WBGene00068960	WBGene00132049_WBGene00215966	srh-147	K08G2.12	other	213	950	3
WBGene00005364	WBGene00156809_WBGene00157396_WBGene00191112		WBGene00068960	WBGene00132049_WBGene00215966	srh-148	K08G2.5	other	3066	559	3
WBGene00005365	WBGene00191112		WBGene00068960	WBGene00132049_WBGene00215966	srh-149	K08G2.13	other	6892	221	3
WBGene00005370	WBGene00157313_WBGene00157396_WBGene00191112		WBGene00068960	WBGene00132049_WBGene00215966	srh-154	F20E11.12	other	72	288	3
WBGene00005375	WBGene00156809_WBGene00191112	WBGene00031250	WBGene00068960	WBGene00132049_WBGene00215966	srh-159	F40D4.3	other	2342	278	4
WBGene00005382	WBGene00153517_WBGene00191112		WBGene00068960	WBGene00132049_WBGene00215966	srh-166	Y38H6C.12	other	586	162	3
WBGene00005383	WBGene00153517_WBGene00191112		WBGene00068960	WBGene00132049_WBGene00215966	srh-167	F57G8.3	other	3469	356	3
WBGene00005385	WBGene00191112		WBGene00068960	WBGene00132049_WBGene00215966	srh-169	C49G7.2	other	407	521	3
WBGene00005386	WBGene00191112		WBGene00068960	WBGene00132049_WBGene00215966	srh-170	R08H2.3	other	4237	1006	3
WBGene00005387	WBGene00153517_WBGene00191112		WBGene00068960	WBGene00132049_WBGene00215966	srh-171	Y60A3A.5	other	4783	5924	3
WBGene00005388	WBGene00153517_WBGene00191112		WBGene00068960	WBGene00132049_WBGene00215966	srh-172	Y60A3A.6	other	131	871	3
WBGene00005389	WBGene00191112		WBGene00068960	WBGene00215966_WBGene00132049	srh-173	Y60A3A.4	other	729	777	3
WBGene00005390	WBGene00153517_WBGene00191112		WBGene00068960	WBGene00132049_WBGene00215966	srh-174	F40D4.1	other	689	244	3
WBGene00005392	WBGene00191112		WBGene00068960	WBGene00132049_WBGene00215966	srh-177	K02E2.3	other	6282	787	3
WBGene00005393	WBGene00153517_WBGene00146320_WBGene00191112		WBGene00068960	WBGene00132049_WBGene00215966	srh-178	ZK228.8	other	799	872	3
WBGene00005394	WBGene00153517_WBGene00191112		WBGene00068960	WBGene00132049_WBGene00215966	srh-179	ZK228.7	other	121	682	3
WBGene00005395	WBGene00191112		WBGene00068960	WBGene00132049_WBGene00215966	srh-180	F57G8.1	other	340	243	3
WBGene00005396	WBGene00153517_WBGene00191112		WBGene00068960	WBGene00132049_WBGene00215966	srh-181	ZK228.6	other	992	768	3
WBGene00005397	WBGene00153517_WBGene00191112		WBGene00068960	WBGene00132049_WBGene00215966	srh-182	ZK228.5	other	1007	553	3
WBGene00005398	WBGene00153517_WBGene00191112		WBGene00068960	WBGene00132049_WBGene00215966	srh-183	Y60A3A.3	other	299	1715	3
WBGene00005399	WBGene00146320_WBGene00191112	WBGene00031249	WBGene00068960	WBGene00132049_WBGene00215966	srh-184	D1054.12	other	2567	284	4
WBGene00005400	WBGene00160737_WBGene00191436_WBGene00193302	WBGene00271556	WBGene00056885		srh-185	C50H11.7	other	1709	238	3
WBGene00005401	WBGene00147566	WBGene00042453_WBGene00088149_WBGene00042455	WBGene00056594		srh-186	F36G9.2	other	768	238	3
WBGene00005402	WBGene00140282_WBGene00145865_WBGene00148683_WBGene00192142_WBGene00139261	WBGene00024457_WBGene00031778_WBGene00088363	WBGene00056883_WBGene00056884_WBGene00056864_WBGene00056867_WBGene00056873_WBGene00080948_WBGene00080850_WBGene00080872_WBGene00056882_WBGene00085932		srh-187	F10G2.8	other	604	179	3
WBGene00005404	WBGene00145865_WBGene00148744_WBGene00152441_WBGene00156792_WBGene00160451_WBGene00163263_WBGene00148683_WBGene00155910_WBGene00158737_WBGene00162606	WBGene00031778_WBGene00031771_WBGene00031772_WBGene00036759_WBGene00206396_WBGene00271140	WBGene00056873_WBGene00056880_WBGene00080948_WBGene00080850_WBGene00056883_WBGene00080872_WBGene00085924_WBGene00085932_WBGene00056855_WBGene00056856_WBGene00056863_WBGene00067677_WBGene00067678_WBGene00082798		srh-190	C17E7.2	other	548	437	3
WBGene00005405	WBGene00145865_WBGene00148683_WBGene00148744_WBGene00156792_WBGene00160737_WBGene00155910_WBGene00158737_WBGene00162606	WBGene00031778_WBGene00031770_WBGene00031771_WBGene00031772_WBGene00036759_WBGene00206396_WBGene00271140	WBGene00056867_WBGene00056855_WBGene00080850_WBGene00056883_WBGene00067678_WBGene00085924_WBGene00085932_WBGene00056856_WBGene00056863_WBGene00056873_WBGene00067677_WBGene00082798		srh-192	ZC132.7	other	2762	2133	3
WBGene00005406	WBGene00140282_WBGene00145865_WBGene00147572_WBGene00148744_WBGene00163263_WBGene00160737_WBGene00148683_WBGene00155910_WBGene00158737_WBGene00162606	WBGene00031778_WBGene00031770_WBGene00031771_WBGene00031772_WBGene00036759_WBGene00206396_WBGene00271140	WBGene00056864_WBGene00056867_WBGene00056880_WBGene00080850_WBGene00056883_WBGene00056884_WBGene00080872_WBGene00067678_WBGene00085924_WBGene00085932_WBGene00056855_WBGene00056856_WBGene00056863_WBGene00056873_WBGene00067677_WBGene00082798		srh-193	F47D2.9	other	1642	750	3
WBGene00005407	WBGene00147572_WBGene00163263_WBGene00160737_WBGene00145865_WBGene00148683_WBGene00148744_WBGene00155910_WBGene00158737_WBGene00162606	WBGene00031778_WBGene00031770_WBGene00031771_WBGene00031772_WBGene00036759_WBGene00206396_WBGene00271140	WBGene00056864_WBGene00056867_WBGene00080850_WBGene00056883_WBGene00056884_WBGene00080872_WBGene00067678_WBGene00085924_WBGene00085932_WBGene00056855_WBGene00056856_WBGene00056863_WBGene00056873_WBGene00067677_WBGene00082798		srh-194	F47D2.10	other	645	649	3
WBGene00005408	WBGene00139261_WBGene00145865_WBGene00148744_WBGene00163263_WBGene00160737_WBGene00148683_WBGene00155910_WBGene00158737_WBGene00162606	WBGene00031778_WBGene00040992_WBGene00031770_WBGene00031771_WBGene00031772_WBGene00036759_WBGene00206396_WBGene00271140	WBGene00056864_WBGene00056867_WBGene00056880_WBGene00080948_WBGene00080850_WBGene00056883_WBGene00056884_WBGene00080872_WBGene00067678_WBGene00085924_WBGene00085932_WBGene00056855_WBGene00056856_WBGene00056863_WBGene00056873_WBGene00067677_WBGene00082798		srh-195	R52.7	other	381	1259	3
WBGene00005410	WBGene00139261_WBGene00147572_WBGene00156792_WBGene00163263_WBGene00145865_WBGene00162606_WBGene00148683_WBGene00148744_WBGene00155910_WBGene00158737	WBGene00031778_WBGene00027515_WBGene00027512_WBGene00031770_WBGene00031771_WBGene00031772_WBGene00036759_WBGene00206396_WBGene00271140	WBGene00056883_WBGene00056864_WBGene00067678_WBGene00079016_WBGene00056856_WBGene00056871_WBGene00080948_WBGene00080850_WBGene00080872_WBGene00085924_WBGene00085932_WBGene00056855_WBGene00056863_WBGene00056873_WBGene00067677_WBGene00082798		srh-199	ZK697.11	other	1246	517	3
WBGene00005411	WBGene00145865_WBGene00139261_WBGene00147572_WBGene00148744_WBGene00163263_WBGene00162606_WBGene00148683_WBGene00155910_WBGene00158737	WBGene00024457_WBGene00031778_WBGene00031772_WBGene00036759_WBGene00031771_WBGene00206396_WBGene00271140	WBGene00056883_WBGene00056864_WBGene00067678_WBGene00056880_WBGene00056867_WBGene00056873_WBGene00080948_WBGene00080850_WBGene00080872_WBGene00085924_WBGene00085932_WBGene00056855_WBGene00056856_WBGene00056863_WBGene00067677_WBGene00082798		srh-200	F07C4.13	other	14572	298	3
WBGene00005412	WBGene00139261_WBGene00147572_WBGene00163263_WBGene00145865_WBGene00162606_WBGene00148683_WBGene00148744_WBGene00155910_WBGene00158737	WBGene00031778_WBGene00031772_WBGene00036759_WBGene00031771_WBGene00206396_WBGene00271140	WBGene00056864_WBGene00056880_WBGene00056867_WBGene00056873_WBGene00080948_WBGene00080850_WBGene00056883_WBGene00080872_WBGene00085924_WBGene00085932_WBGene00056855_WBGene00056856_WBGene00056863_WBGene00067677_WBGene00067678_WBGene00082798		srh-201	R03H4.9	other	542	611	3
WBGene00005414	WBGene00148744_WBGene00162606_WBGene00145865_WBGene00148683_WBGene00155910_WBGene00158737	WBGene00031778_WBGene00040992_WBGene00031771_WBGene00031772_WBGene00036759_WBGene00206396_WBGene00271140	WBGene00079016_WBGene00056867_WBGene00080850_WBGene00056883_WBGene00080872_WBGene00067678_WBGene00085924_WBGene00085932_WBGene00056855_WBGene00056856_WBGene00056863_WBGene00056873_WBGene00067677_WBGene00082798		srh-203	F20E11.10	other	321	786	3
WBGene00005415	WBGene00139261_WBGene00162606_WBGene00145865_WBGene00148683_WBGene00148744_WBGene00155910_WBGene00158737	WBGene00031778_WBGene00040992_WBGene00031771_WBGene00031772_WBGene00036759_WBGene00206396_WBGene00271140	WBGene00056869_WBGene00056873_WBGene00056883_WBGene00080872_WBGene00085924_WBGene00085932_WBGene00056855_WBGene00056856_WBGene00056863_WBGene00067677_WBGene00067678_WBGene00082798		srh-204	E03D2.3	other	559	247	3
WBGene00005416	WBGene00140282_WBGene00162606_WBGene00145865_WBGene00148683_WBGene00148744_WBGene00155910_WBGene00158737	WBGene00031778_WBGene00031771_WBGene00031772_WBGene00036759_WBGene00206396_WBGene00271140	WBGene00079016_WBGene00056870_WBGene00080872_WBGene00085924_WBGene00085932_WBGene00056855_WBGene00056856_WBGene00056863_WBGene00056873_WBGene00067677_WBGene00067678_WBGene00082798		srh-206	Y102A5C.15	other	1662	96	3
